day,month,year,open,high,low,close,time,volume,number_of_trades,user,is_verified,location,followers_count,friends_count,clean_tweet,sentiment
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Pita Swift,0,Canada,171,917,why is running out of coffee starbucks coffee,Neutral
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Nico,0,Canada,352,508,when you ask for light ice and the barista fills your cup to rim with ice never going to that again,Positive
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Pita Swift,0,Canada,171,917,why is running out of coffee starbucks coffee,Neutral
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Nico,0,Canada,352,508,when you ask for light ice and the barista fills your cup to rim with ice never going to that again,Positive
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Rod Murphy ?☕️?⚾️,0,Canada,203,506,are you getting excited for the opening may 21st come out and support your new local s,Positive
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Rod Murphy ?☕️?⚾️,0,Canada,203,506,are you getting excited for the opening may 21st come out and support your new local s,Positive
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Heather Pechin,0,Canada,371,1315,i just happen to love me a good starbucks sippy cup this gets me through the work day especially on hour 10 ish,Positive
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Heather Pechin,0,Canada,371,1315,i just happen to love me a good starbucks sippy cup this gets me through the work day especially on hour 10 ish,Positive
27,4,2021,115.65,115.95,115.64,115.93,09:31 AM,1200.0,11.0,Pita Swift,0,Canada,171,917,why is running out of coffee starbucks coffee,Neutral
27,4,2021,115.65,115.95,115.64,115.93,09:31 AM,1200.0,11.0,Nico,0,Canada,352,508,when you ask for light ice and the barista fills your cup to rim with ice never going to that again,Positive
27,4,2021,115.65,115.95,115.64,115.93,09:31 AM,1200.0,11.0,Pita Swift,0,Canada,171,917,why is running out of coffee starbucks coffee,Neutral
27,4,2021,115.65,115.95,115.64,115.93,09:31 AM,1200.0,11.0,Nico,0,Canada,352,508,when you ask for light ice and the barista fills your cup to rim with ice never going to that again,Positive
27,4,2021,115.65,115.95,115.64,115.93,09:31 AM,1200.0,11.0,Rod Murphy ?☕️?⚾️,0,Canada,203,506,are you getting excited for the opening may 21st come out and support your new local s,Positive
27,4,2021,115.65,115.95,115.64,115.93,09:31 AM,1200.0,11.0,Rod Murphy ?☕️?⚾️,0,Canada,203,506,are you getting excited for the opening may 21st come out and support your new local s,Positive
27,4,2021,115.65,115.95,115.64,115.93,09:31 AM,1200.0,11.0,Heather Pechin,0,Canada,371,1315,i just happen to love me a good starbucks sippy cup this gets me through the work day especially on hour 10 ish,Positive
27,4,2021,115.65,115.95,115.64,115.93,09:31 AM,1200.0,11.0,Heather Pechin,0,Canada,371,1315,i just happen to love me a good starbucks sippy cup this gets me through the work day especially on hour 10 ish,Positive
27,4,2021,115.94,116.11,115.93,116.08,09:32 AM,854.0,10.0,Pita Swift,0,Canada,171,917,why is running out of coffee starbucks coffee,Neutral
27,4,2021,115.94,116.11,115.93,116.08,09:32 AM,854.0,10.0,Nico,0,Canada,352,508,when you ask for light ice and the barista fills your cup to rim with ice never going to that again,Positive
27,4,2021,115.94,116.11,115.93,116.08,09:32 AM,854.0,10.0,Pita Swift,0,Canada,171,917,why is running out of coffee starbucks coffee,Neutral
27,4,2021,115.94,116.11,115.93,116.08,09:32 AM,854.0,10.0,Nico,0,Canada,352,508,when you ask for light ice and the barista fills your cup to rim with ice never going to that again,Positive
27,4,2021,115.94,116.11,115.93,116.08,09:32 AM,854.0,10.0,Rod Murphy ?☕️?⚾️,0,Canada,203,506,are you getting excited for the opening may 21st come out and support your new local s,Positive
27,4,2021,115.94,116.11,115.93,116.08,09:32 AM,854.0,10.0,Rod Murphy ?☕️?⚾️,0,Canada,203,506,are you getting excited for the opening may 21st come out and support your new local s,Positive
27,4,2021,115.94,116.11,115.93,116.08,09:32 AM,854.0,10.0,Heather Pechin,0,Canada,371,1315,i just happen to love me a good starbucks sippy cup this gets me through the work day especially on hour 10 ish,Positive
27,4,2021,115.94,116.11,115.93,116.08,09:32 AM,854.0,10.0,Heather Pechin,0,Canada,371,1315,i just happen to love me a good starbucks sippy cup this gets me through the work day especially on hour 10 ish,Positive
27,4,2021,115.97,116.05,115.84,115.85,09:33 AM,1029.0,11.0,Pita Swift,0,Canada,171,917,why is running out of coffee starbucks coffee,Neutral
27,4,2021,115.97,116.05,115.84,115.85,09:33 AM,1029.0,11.0,Nico,0,Canada,352,508,when you ask for light ice and the barista fills your cup to rim with ice never going to that again,Positive
27,4,2021,115.97,116.05,115.84,115.85,09:33 AM,1029.0,11.0,Pita Swift,0,Canada,171,917,why is running out of coffee starbucks coffee,Neutral
27,4,2021,115.97,116.05,115.84,115.85,09:33 AM,1029.0,11.0,Nico,0,Canada,352,508,when you ask for light ice and the barista fills your cup to rim with ice never going to that again,Positive
27,4,2021,115.97,116.05,115.84,115.85,09:33 AM,1029.0,11.0,Rod Murphy ?☕️?⚾️,0,Canada,203,506,are you getting excited for the opening may 21st come out and support your new local s,Positive
27,4,2021,115.97,116.05,115.84,115.85,09:33 AM,1029.0,11.0,Rod Murphy ?☕️?⚾️,0,Canada,203,506,are you getting excited for the opening may 21st come out and support your new local s,Positive
27,4,2021,115.97,116.05,115.84,115.85,09:33 AM,1029.0,11.0,Heather Pechin,0,Canada,371,1315,i just happen to love me a good starbucks sippy cup this gets me through the work day especially on hour 10 ish,Positive
27,4,2021,115.97,116.05,115.84,115.85,09:33 AM,1029.0,11.0,Heather Pechin,0,Canada,371,1315,i just happen to love me a good starbucks sippy cup this gets me through the work day especially on hour 10 ish,Positive
27,4,2021,115.79,115.79,115.685,115.73,09:34 AM,719.0,6.0,Pita Swift,0,Canada,171,917,why is running out of coffee starbucks coffee,Neutral
27,4,2021,115.79,115.79,115.685,115.73,09:34 AM,719.0,6.0,Nico,0,Canada,352,508,when you ask for light ice and the barista fills your cup to rim with ice never going to that again,Positive
27,4,2021,115.79,115.79,115.685,115.73,09:34 AM,719.0,6.0,Pita Swift,0,Canada,171,917,why is running out of coffee starbucks coffee,Neutral
27,4,2021,115.79,115.79,115.685,115.73,09:34 AM,719.0,6.0,Nico,0,Canada,352,508,when you ask for light ice and the barista fills your cup to rim with ice never going to that again,Positive
27,4,2021,115.79,115.79,115.685,115.73,09:34 AM,719.0,6.0,Rod Murphy ?☕️?⚾️,0,Canada,203,506,are you getting excited for the opening may 21st come out and support your new local s,Positive
27,4,2021,115.79,115.79,115.685,115.73,09:34 AM,719.0,6.0,Rod Murphy ?☕️?⚾️,0,Canada,203,506,are you getting excited for the opening may 21st come out and support your new local s,Positive
27,4,2021,115.79,115.79,115.685,115.73,09:34 AM,719.0,6.0,Heather Pechin,0,Canada,371,1315,i just happen to love me a good starbucks sippy cup this gets me through the work day especially on hour 10 ish,Positive
27,4,2021,115.79,115.79,115.685,115.73,09:34 AM,719.0,6.0,Heather Pechin,0,Canada,371,1315,i just happen to love me a good starbucks sippy cup this gets me through the work day especially on hour 10 ish,Positive
27,4,2021,115.84,115.84,115.76,115.77,09:35 AM,793.0,4.0,Pita Swift,0,Canada,171,917,why is running out of coffee starbucks coffee,Neutral
27,4,2021,115.84,115.84,115.76,115.77,09:35 AM,793.0,4.0,Nico,0,Canada,352,508,when you ask for light ice and the barista fills your cup to rim with ice never going to that again,Positive
27,4,2021,115.84,115.84,115.76,115.77,09:35 AM,793.0,4.0,Pita Swift,0,Canada,171,917,why is running out of coffee starbucks coffee,Neutral
27,4,2021,115.84,115.84,115.76,115.77,09:35 AM,793.0,4.0,Nico,0,Canada,352,508,when you ask for light ice and the barista fills your cup to rim with ice never going to that again,Positive
27,4,2021,115.84,115.84,115.76,115.77,09:35 AM,793.0,4.0,Rod Murphy ?☕️?⚾️,0,Canada,203,506,are you getting excited for the opening may 21st come out and support your new local s,Positive
27,4,2021,115.84,115.84,115.76,115.77,09:35 AM,793.0,4.0,Rod Murphy ?☕️?⚾️,0,Canada,203,506,are you getting excited for the opening may 21st come out and support your new local s,Positive
27,4,2021,115.84,115.84,115.76,115.77,09:35 AM,793.0,4.0,Heather Pechin,0,Canada,371,1315,i just happen to love me a good starbucks sippy cup this gets me through the work day especially on hour 10 ish,Positive
27,4,2021,115.84,115.84,115.76,115.77,09:35 AM,793.0,4.0,Heather Pechin,0,Canada,371,1315,i just happen to love me a good starbucks sippy cup this gets me through the work day especially on hour 10 ish,Positive
27,4,2021,115.69,115.8,115.69,115.69,09:36 AM,1702.0,17.0,Pita Swift,0,Canada,171,917,why is running out of coffee starbucks coffee,Neutral
27,4,2021,115.69,115.8,115.69,115.69,09:36 AM,1702.0,17.0,Nico,0,Canada,352,508,when you ask for light ice and the barista fills your cup to rim with ice never going to that again,Positive
27,4,2021,115.69,115.8,115.69,115.69,09:36 AM,1702.0,17.0,Pita Swift,0,Canada,171,917,why is running out of coffee starbucks coffee,Neutral
27,4,2021,115.69,115.8,115.69,115.69,09:36 AM,1702.0,17.0,Nico,0,Canada,352,508,when you ask for light ice and the barista fills your cup to rim with ice never going to that again,Positive
27,4,2021,115.69,115.8,115.69,115.69,09:36 AM,1702.0,17.0,Rod Murphy ?☕️?⚾️,0,Canada,203,506,are you getting excited for the opening may 21st come out and support your new local s,Positive
27,4,2021,115.69,115.8,115.69,115.69,09:36 AM,1702.0,17.0,Rod Murphy ?☕️?⚾️,0,Canada,203,506,are you getting excited for the opening may 21st come out and support your new local s,Positive
27,4,2021,115.69,115.8,115.69,115.69,09:36 AM,1702.0,17.0,Heather Pechin,0,Canada,371,1315,i just happen to love me a good starbucks sippy cup this gets me through the work day especially on hour 10 ish,Positive
27,4,2021,115.69,115.8,115.69,115.69,09:36 AM,1702.0,17.0,Heather Pechin,0,Canada,371,1315,i just happen to love me a good starbucks sippy cup this gets me through the work day especially on hour 10 ish,Positive
27,4,2021,115.66,115.71,115.62,115.62,09:37 AM,1311.0,13.0,Pita Swift,0,Canada,171,917,why is running out of coffee starbucks coffee,Neutral
27,4,2021,115.66,115.71,115.62,115.62,09:37 AM,1311.0,13.0,Nico,0,Canada,352,508,when you ask for light ice and the barista fills your cup to rim with ice never going to that again,Positive
27,4,2021,115.66,115.71,115.62,115.62,09:37 AM,1311.0,13.0,Pita Swift,0,Canada,171,917,why is running out of coffee starbucks coffee,Neutral
27,4,2021,115.66,115.71,115.62,115.62,09:37 AM,1311.0,13.0,Nico,0,Canada,352,508,when you ask for light ice and the barista fills your cup to rim with ice never going to that again,Positive
27,4,2021,115.66,115.71,115.62,115.62,09:37 AM,1311.0,13.0,Rod Murphy ?☕️?⚾️,0,Canada,203,506,are you getting excited for the opening may 21st come out and support your new local s,Positive
